Chapter Number,Chapter Name,Chapter Image
Chapter 1,Jackson,Data/Images/chapter_images/Chapter 1.jpg
Chapter 2,Seattle Day 1,Data/Images/chapter_images/Chapter 2.jpg
Chapter 3,Seattle Day 2,Data/Images/chapter_images/Chapter 3.jpg
Chapter 4,Seattle Day 3,Data/Images/chapter_images/Chapter 4.jpg
Chapter 5,The Park,Data/Images/chapter_images/Chapter 5.jpg
Chapter 6,Seattle Day 1,Data/Images/chapter_images/Chapter 6.jpg
Chapter 7,Seattle Day 2,Data/Images/chapter_images/Chapter 7.jpg
Chapter 8,Seattle Day 3,Data/Images/chapter_images/Chapter 8.jpg
Chapter 9,The Farm,Data/Images/chapter_images/Chapter 9.jpg
Chapter 10,Santa Barbara,Data/Images/chapter_images/Chapter 10.jpg
Chapter 11,The Farm,Data/Images/chapter_images/Chapter 11.jpg
