Chapter Name,Chapter Image,Sub-chapters,Sub-chapter URLs
Chapter 1: Jackson,https://img.game8.co/3252676/016d74f47a69207695a8bd98faa9df04.jpeg/show,"Prologue, Waking Up, The Overlook, Patrol, The Horde, The Chalet, Packing Up","https://game8.co/games/Last-of-Us-2/archives/290664, https://game8.co/games/Last-of-Us-2/archives/290702, https://game8.co/games/Last-of-Us-2/archives/290703, https://game8.co/games/Last-of-Us-2/archives/290704, https://game8.co/games/Last-of-Us-2/archives/290705, https://game8.co/games/Last-of-Us-2/archives/290706, https://game8.co/games/Last-of-Us-2/archives/290707"
Chapter 2: Seattle Day 1,https://img.game8.co/3252681/208e3bd72b0c4ce49f7c2ee308853d6a.jpeg/show,"The Gate, Downtown, Eastbrook Elementary, Capitol Hill, Channel 13, The Tunnels, The Theater, The Birthday Gift","https://game8.co/games/Last-of-Us-2/archives/290709, https://game8.co/games/Last-of-Us-2/archives/290710, https://game8.co/games/Last-of-Us-2/archives/290711, https://game8.co/games/Last-of-Us-2/archives/290713, https://game8.co/games/Last-of-Us-2/archives/290714, https://game8.co/games/Last-of-Us-2/archives/290715, https://game8.co/games/Last-of-Us-2/archives/290716, https://game8.co/games/Last-of-Us-2/archives/290717"
Chapter 3: Seattle Day 2,https://img.game8.co/3252682/541861fadb8610c141286de7d2f98d0c.jpeg/show,"Hillcrest, Finding Strings, The Seraphites, St. Mary's Hospital","https://game8.co/games/Last-of-Us-2/archives/290712, https://game8.co/games/Last-of-Us-2/archives/290738, https://game8.co/games/Last-of-Us-2/archives/290742, https://game8.co/games/Last-of-Us-2/archives/290751"
Chapter 4: Seattle Day 3,https://img.game8.co/3255016/3fb74e357dc25e5e5368f6cfb994bd54.jpeg/show,"Road to the Aquarium, The Flooded City, Infiltration","https://game8.co/games/Last-of-Us-2/archives/290752, https://game8.co/games/Last-of-Us-2/archives/290756, https://game8.co/games/Last-of-Us-2/archives/290763"
Chapter 5: The Park,https://img.game8.co/3252680/68d10ee83ce0e2bad1b133e3aaef1019.jpeg/show,Tracking Lesson,https://game8.co/games/Last-of-Us-2/archives/290764
Chapter 6: Seattle Day 1,https://img.game8.co/3252681/208e3bd72b0c4ce49f7c2ee308853d6a.jpeg/show,"The Stadium, On Foot, The Forward Base, The Aquarium, Hostile Territory, Winter Visit, The Forest, The Coast, Return to the Coast","https://game8.co/games/Last-of-Us-2/archives/290765, https://game8.co/games/Last-of-Us-2/archives/290766, https://game8.co/games/Last-of-Us-2/archives/290777, https://game8.co/games/Last-of-Us-2/archives/290779, https://game8.co/games/Last-of-Us-2/archives/290782, https://game8.co/games/Last-of-Us-2/archives/290794, https://game8.co/games/Last-of-Us-2/archives/290795, https://game8.co/games/Last-of-Us-2/archives/290796, https://game8.co/games/Last-of-Us-2/archives/290800"
Chapter 7: Seattle Day 2,https://img.game8.co/3252682/541861fadb8610c141286de7d2f98d0c.jpeg/show,"The Shortcut, The Descent, Ground Zero, Return to the Aquarium","https://game8.co/games/Last-of-Us-2/archives/290801, https://game8.co/games/Last-of-Us-2/archives/290803, https://game8.co/games/Last-of-Us-2/archives/290805, https://game8.co/games/Last-of-Us-2/archives/290811"
Chapter 8: Seattle Day 3,https://img.game8.co/3255016/3fb74e357dc25e5e5368f6cfb994bd54.jpeg/show,"The Marina, The Island, The Escape, The Confrontation","https://game8.co/games/Last-of-Us-2/archives/290816, https://game8.co/games/Last-of-Us-2/archives/290819, https://game8.co/games/Last-of-Us-2/archives/290824, https://game8.co/games/Last-of-Us-2/archives/290829"
Chapter 9: The Farm,https://img.game8.co/3252775/c195c6ace9970eb25b97e3e7dc47d8a8.png/show,The Farm,https://game8.co/games/Last-of-Us-2/archives/290833
Chapter 10: Santa Barbara,https://img.game8.co/3252774/2a7f34405d54ee3b0e1ebfdecb2831d5.png/show,"2425 Constance, Pushing Inland, The Resort, The Beach","https://game8.co/games/Last-of-Us-2/archives/290834, https://game8.co/games/Last-of-Us-2/archives/290836, https://game8.co/games/Last-of-Us-2/archives/290838, https://game8.co/games/Last-of-Us-2/archives/290843"
Chapter 11: The Farm,https://img.game8.co/3252775/c195c6ace9970eb25b97e3e7dc47d8a8.png/show,Epilogue,https://game8.co/games/Last-of-Us-2/archives/290846
