Chapter,Location,Combination/Code
Jackson - Patrol,Super Market,07-20-13
Seattle Day 1 - Downtown,Bank Vault,60-23-06
Seattle Day 1 - Downtown,Courthouse,86-07-22
Seattle Day 1 - Downtown,West Gate 2,04-51
Seattle Day 1 - Capitol Hill,Thrift Store,55-01-33
Seattle Day 1 - Tunnels,Locker Room,15243
Seattle Day 2 - Hillcrest,Auto Repair Shop,30-82-65
Seattle Day 2 - The Seraphites,Apartment,10-08-83
Seattle Day 2 - The Seraphites,Weston's Pharmacy,38-55-23
Seattle Day 3 - The Flooded City,First Gate,70-12-64
Seattle Day 1 - On Foot,Big Win Safe,17-38-07
Seattle Day 1 - Hostile Territory,Jasmine Bakery,68-96-89
Seattle Day 1 - The Coast,Boat Control Room,90-77-01
Seattle Day 2 - The Shortcut,Apartment Bedroom,30-23-04
Seattle Day 2 - The Descent,Across From Gym,12-18-79
